b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
32,-12,-8,13,-8,0,12,-0.0003649364318836695,33.07362776543903,0.5191971255822084
32,-12,-8,13,-11,0,12,-0.0003666058504977972,33.226012837784,0.5788085781611936
32,-12,-10,13,9,0,12,-0.0003666072165143126,33.22613752814395,0.5788712678133893
32,-12,-9,13,-2,0,12,-0.0003666072701338235,33.22613752301425,0.5788712652803518
32,-12,-10,13,12,0,12,-0.0003584053798599567,32.47746954247071,0.6780479435314763
32,-12,-10,13,-9,0,12,-0.0003665580464407141,33.22164927034811,0.5766274293115026
32,-12,-10,13,15,0,12,-0.0003666072071763582,33.22613667577293,0.5788708392049715
32,-12,-10,13,-8,0,12,-0.0003650404558697596,33.08311823505716,0.5218102572060465
32,-12,-9,13,5,0,12,-0.0003666072164581154,33.22613752301425,0.5788712652339554
32,-12,-8,13,-5,0,12,-0.0003661880628288654,33.18787706006652,0.5606085846690326
32,-12,-10,13,13,0,13,-0.0003716618175759667,33.66767626456561,0.8871843464870004
32,-12,-10,13,18,0,12,-0.0003666072165143939,33.22613752815138,0.5788712678171229
32,-12,-10,13,16,0,12,-0.0003617770682480063,32.78523471858959,0.5223121659219382
32,-12,-9,13,-16,0,12,-0.00125498152361088,33.22209799765045,0.577621378687614
32,-12,-8,13,-9,0,12,-0.0014927504312485,33.22606265080685,0.5798073796025773
32,-12,-9,13,-6,0,12,-0.0003666072674887416,33.22613728157049,0.5788711438720603
32,-12,-9,13,12,0,12,-0.0003666072159891292,33.22613748020506,0.5788712437076506
32,-12,-8,13,-12,0,12,-0.0003578718436975997,32.42876793183751,0.7118224960776681
32,-12,-9,13,8,0,12,-0.0003647286724902211,33.05466340856801,0.5144603553677035
32,-12,-10,13,19,0,12,-0.0003666072159307666,33.22613747487771,0.5788712410288294
32,-12,-10,13,-11,0,13,-0.0003713678611234537,33.64084338821455,0.8651586303432732
32,-12,-9,13,-17,0,12,-0.0003666072081101616,33.22613676101075,0.578870882066133
32,-12,-9,13,-9,0,12,-0.0003666072165143939,33.22613752815138,0.5788712678171229
32,-12,-9,13,19,0,12,-0.0003664892309001898,33.21536776869637,0.573531323144654
32,-12,-9,13,7,0,12,-0.0003666072701842398,33.22613752761627,0.5788712675944432
32,-12,-9,13,11,0,12,-0.0003665924640861356,33.22479092247187,0.578195308056681
32,-12,-9,13,-15,0,12,-0.000365822102265874,33.15447206653072,0.5463578626977058
32,-12,-8,13,-2,0,12,-0.0003659092217725488,33.16241947262656,0.5495977173640635
32,-12,-8,13,-1,0,12,-0.001815239774605845,33.22613548472318,0.5801228735151637
32,-12,-8,13,6,0,12,-0.0003653526743324906,33.11162252725671,0.5306027247576256
32,-12,-9,13,-14,0,12,-0.0003666072165143208,33.2261375281447,0.578871267813768
32,-12,-10,13,-2,0,12,-0.0003604206969695638,32.66142433010677,0.5702963259259534
32,-12,-10,13,2,0,12,-0.0003604206441982704,32.66142432998136,0.5702963259398277
32,-12,-9,13,-11,0,12,-0.000364106836366272,32.99790195336869,0.5042947064590342
32,-12,-8,13,-3,0,12,-0.0003665941568589648,33.22494053988054,0.5782702961787871
32,-12,-8,13,1,0,12,-0.00180696706198092,33.07362767074072,0.5205869682870773
32,-12,-9,13,-8,0,12,-0.001812128558365862,33.1687800994175,0.5535700091852909
32,-12,-9,13,10,0,12,-0.0003666072674887416,33.22613728157049,0.5788711438720603
32,-12,-9,13,-12,0,12,-0.0003665924640861439,33.22479092247263,0.578195308057062
32,-12,-9,13,-13,0,12,-0.005209133577560511,33.21919294605668,0.5796265154645103
32,-12,-9,13,15,0,12,-0.0003647286724902211,33.05466340856801,0.5144603553677035
32,-12,-8,13,4,0,12,-0.001813682432897375,33.19743374566571,0.5662650626092731
32,-12,-9,13,-10,0,12,-0.005204692970467158,33.20484173478591,0.5727242875415116
32,-12,-8,13,0,0,12,-0.0003616409624579793,32.7728109052286,0.5260105091362699
32,-12,-8,13,2,0,12,-0.001813164458828324,33.1878769650781,0.5619004066942789
32,-12,-8,13,5,0,12,-0.0003578718437054656,32.42876793255553,0.7118224955669736
32,-12,-10,13,-4,0,12,-0.0003657350784745813,33.14652850669056,0.5432164638994348
32,-12,-10,13,5,0,12,-0.001810921526048023,33.1465284117813,0.5445479029739039
32,-12,-10,13,1,0,12,-0.0003664324506062298,33.210184847474,0.5710160897649488
32,-12,-9,13,17,0,12,-0.001814461029285517,33.21177932418436,0.5730536266017793
32,-12,-9,13,16,0,12,-0.001280437568265273,33.2220979957054,0.5776434684013776
32,-12,-9,13,13,0,12,-0.001813877340346458,33.20101896226013,0.5679352890545033
32,-12,-10,13,3,0,12,-0.0003557538046708868,32.23542668774557,0.8601423566215778
32,-12,-10,13,-5,0,12,-4.917527800976561e-312,32.90999642344706,0.5006278682424615
32,-12,-9,13,3,0,12,-0.0003664892845585301,33.21536776868786,0.5735313231873035
32,-12,-8,13,-19,0,12,-4.936775758458955e-312,32.97273765980552,0.5014174771648346
32,-12,-8,13,-6,0,12,-5.0108335384148e-312,33.21337414978476,0.5722393574304109
32,-12,-8,13,3,0,12,-5.0108335384148e-312,33.21337414979353,0.5722393574346754
32,-12,-10,13,-17,0,12,-0.0003594475927754231,32.57259872029457,0.6178502302917136
32,-12,-10,13,-1,0,12,-5.008586040516102e-312,33.20619908964199,0.5687842692428218
32,-12,-9,13,0,0,12,-5.014777217410251e-312,33.22613753166312,0.5785544098278104
32,-12,-9,13,1,0,12,-5.014777141378489e-312,33.22613728561734,0.5785542860399978
32,-12,-9,13,-7,0,12,-5.014777217568352e-312,33.22613753219155,0.5785544100936686
32,-12,-9,13,14,0,12,-0.0003665286045362958,33.21895690668919,0.5752940248859477
32,-12,-10,13,-14,0,12,-4.917558736778399e-312,32.90999642343756,0.5006278682429371
32,-12,-10,13,-7,0,12,-4.74952856861934e-312,32.35600145107115,0.7650559730359667
32,-12,-11,13,19,0,12,-0.0003665111279439612,33.21736163871641,0.5745084544548426
